position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,1,53,,Finished,25,,,
2,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,4,53,,Finished,18,,,
3,RÄI,Finland Kimi Räikkönen,Ferrari,6,53,,Finished,15,,,
4,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,5,53,,Finished,12,,,
5,VET,Germany Sebastian Vettel,Ferrari,3,53,,Finished,10,,,
6,MAG,Denmark Kevin Magnussen,Haas-Ferrari,9,53,,Finished,8,,,
7,BOT,Finland Valtteri Bottas,Mercedes,2,53,,Finished,6,,,
8,JR.,Spain Carlos Sainz Jr.,Renault,7,53,,Finished,4,,,
9,HÜL,Germany Nico Hülkenberg,Renault,12,53,,Finished,2,,,
10,LEC,Monaco Charles Leclerc,Sauber-Ferrari,8,53,,Finished,1,,,
11,GRO,France Romain Grosjean,Haas-Ferrari,10,52,,+1 lap,,,,
12,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,17,52,,+1 lap,,,,
13,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,15,52,,+1 lap,,,,
14,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,20,52,,+1 lap,,,,
15,SIR,Russia Sergey Sirotkin,Williams-Mercedes,18,52,,+1 lap1,,,,
16,ALO,Spain Fernando Alonso,McLaren-Renault,16,50,,Finished,,,,
17,STR,Canada Lance Stroll,Williams-Mercedes,19,48,,Finished,,,,
RET,PÉR,Mexico Sergio Pérez,Force India-Mercedes,13,27,,Finished,,,,
RET,OCO,France Esteban Ocon,Force India-Mercedes,11,0,,Finished,,,,
RET,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,14,0,,Finished,,,,
